GTZAR1YR Govt,,GTZAR5YR Govt,,GTZAR10Y Govt,
,,,,8/20/2025,9.604
,,,,8/21/2025,9.62
,,,,8/22/2025,9.583
,,,,8/25/2025,9.578
,,,,8/26/2025,9.59
,,,,8/27/2025,9.604
,,,,8/28/2025,9.613
,,,,8/29/2025,9.61
,,,,9/1/2025,9.588
,,,,9/2/2025,9.633
,,,,9/3/2025,9.649
,,,,9/4/2025,9.634
,,,,9/5/2025,9.569
,,,,9/8/2025,9.558
,,,,9/9/2025,9.502
,,,,9/10/2025,9.482
,,,,9/11/2025,9.379
,,,,9/12/2025,9.341
,,,,9/15/2025,9.219
,,,,9/16/2025,9.243
,,,,9/17/2025,9.169
,,,,9/18/2025,9.184
,,,,9/19/2025,9.174
,,,,9/22/2025,9.131
,,,,9/23/2025,9.079
,,,,9/25/2025,9.137
,,,,9/26/2025,9.158
,,,,9/29/2025,9.156
,,,,9/30/2025,9.172
,,,,10/1/2025,9.171
,,,,10/2/2025,9.182
,,,,10/3/2025,9.181
,,,,10/6/2025,9.225
,,,,10/7/2025,9.159
,,,,10/8/2025,9.094
,,,,10/9/2025,9.05
,,,,10/10/2025,9.086
,,,,10/13/2025,9.117
,,,,10/14/2025,9.139
,,,,10/15/2025,9.064
,,,,10/16/2025,9.021
,,,,10/17/2025,9.024
,,,,10/20/2025,8.929
,,,,10/21/2025,8.905
,,,,10/22/2025,8.939
,,,,10/23/2025,8.939
,,,,10/24/2025,8.904
,,,,10/27/2025,8.884
,,,,10/28/2025,8.873
,,,,10/29/2025,8.85
,,,,10/30/2025,8.864
,,,,10/31/2025,8.862
,,,,11/3/2025,8.849
,,,,11/4/2025,8.836
,,,,11/5/2025,8.786
,,,,11/6/2025,8.77
,,,,11/7/2025,8.82
,,,,11/10/2025,8.749
,,,,11/11/2025,8.804
,,,,11/12/2025,8.681
,,,,11/13/2025,8.605
,,,,11/14/2025,8.65
,,,,11/17/2025,8.613
,,,,11/18/2025,8.668
,,,,11/19/2025,8.667
,,,,11/20/2025,8.602
,,,,11/21/2025,8.645
,,,,11/24/2025,8.632
,,,,11/25/2025,8.61
,,,,11/26/2025,8.577
,,,,11/27/2025,8.576
,,,,11/28/2025,8.501
,,,,12/1/2025,8.5
,,,,12/2/2025,8.465
,,,,12/3/2025,8.345
,,,,12/4/2025,8.318
,,,,12/5/2025,8.314
,,,,12/8/2025,8.439
,,,,12/9/2025,8.491
,,,,12/10/2025,8.506
,,,,12/11/2025,8.428
,,,,12/12/2025,8.405
,,,,12/15/2025,8.383
,,,,12/17/2025,8.373
,,,,12/18/2025,8.4
,,,,12/19/2025,8.421
,,,,12/22/2025,8.437
,,,,12/23/2025,8.402
,,,,12/24/2025,8.343
,,,,12/29/2025,8.296
,,,,12/30/2025,8.22
,,,,12/31/2025,8.204
